episode,step,x,z,evaded
1,0,212.9846,-38.75472,False
1,1,170.8394,-35.9235,False
1,2,165.1014,-90.62698,False
1,3,179.4759,-96.34995,False
1,4,183.4704,-150.9762,False
1,5,179.5195,-164.3412,False
1,6,190.6214,-160.6076,False
1,7,199.5652,-210.6744,False
1,8,199.7296,-232.7734,False
1,9,144.7774,-255.2166,False
1,10,116.051,-264.181,False
1,11,52.49034,-284.2627,False
1,12,-7.603651,-303.8738,False
1,13,-72.67531,-325.4554,False
1,14,-91.32547,-338.0196,False
1,15,-149.6969,-382.3592,False
1,16,-191.9078,-384.4901,False
1,17,-258.9207,-434.7119,False
1,18,-320.362,-438.965,False
1,19,-375.8852,-460.1022,True
1,19,-355.0174,-445.5042,False
1,20,-371.6411,-452.6313,False
1,21,-426.5897,-476.9314,True
1,21,-415.7409,-516.4669,True
1,21,-452.6929,-455.1928,True
1,21,-346.185,-462.244,False
1,22,-348.6884,-505.4384,True
1,22,-342.7064,-516.8151,False
1,23,-382.5255,-531.6819,True
1,23,-376.3249,-530.5643,False
1,24,-429.5409,-579.6342,True
1,24,-428.6405,-533.1548,True
1,24,-461.6753,-564.4172,True
1,24,-402.364,-462.4709,False
1,25,-444.7592,-452.7642,True
1,25,-409.7368,-418.9803,False
1,26,-466.6749,-425.7974,True
1,26,-455.0159,-408.1419,False
1,27,-495.2982,-439.7357,True
1,27,-457.0712,-389.8714,False
1,28,-482.9151,-410.2394,True
1,28,-476.1091,-413.1837,True
1,28,-459.5416,-356.3693,False
1,29,-464.4066,-408.9806,False
1,30,-431.7093,-450.0605,False
1,31,-414.3845,-470.2323,False
1,32,-398.5842,-488.5734,False
1,33,-353.8279,-542.4933,False
1,34,-377.6163,-596.5292,True
1,34,-349.1506,-585.1969,False
1,35,-305.8244,-563.1254,False
1,36,-281.738,-551.9174,False
1,37,-235.0028,-528.9111,False
1,38,-172.747,-498.2684,False
1,39,-144.9008,-484.6473,False
1,40,-117.8925,-471.5873,False
1,41,-66.93481,-447.2993,False
1,42,17.08644,-406.0443,False
1,43,42.95331,-393.0483,False
1,44,115.2636,-355.5163,False
1,45,173.5933,-325.4781,False
1,46,223.2595,-299.9701,False
1,47,249.3754,-286.7873,False
1,48,269.1926,-276.6434,False
1,49,287.6298,-267.4382,False
1,50,363.9909,-229.4256,False
1,51,418.4457,-202.5116,False
1,52,473.7436,-174.7634,False
1,53,540.9232,-141.3635,False
1,54,601.5533,-111.6823,False
1,55,627.1613,-99.17998,True
1,55,637.4403,-68.26531,True
1,55,653.3595,-142.019,True
1,55,570.936,-63.71024,False
1,56,564.5334,19.55165,False
1,57,562.8183,45.3969,False
1,58,558.229,116.851,False
1,59,553.813,197.4074,False
1,60,598.4509,219.8577,False
1,61,615.0356,277.3513,False
1,62,628.8248,321.4354,False
1,63,637.9191,349.523,True
1,63,686.8394,367.6852,True
1,63,626.8226,393.3617,True
1,63,643.8806,334.8228,True
1,63,548.4535,361.0046,False
1,64,580.0338,388.3186,True
1,64,541.9559,364.017,True
1,64,529.5424,371.7185,True
1,64,540.456,326.3104,False
1,65,565.0537,372.7446,True
1,65,538.1026,326.4832,False
1,66,594.9949,382.4799,True
1,66,574.5334,374.1256,True
1,66,592.4687,354.1709,False
1,67,622.4229,395.7961,True
1,67,581.8083,363.1837,True
1,67,646.7243,316.646,True
1,67,661.609,347.5391,True
1,67,654.1172,287.077,True
1,68,457.606,284.9856,False
1,69,482.2652,358.8421,True
1,69,478.6524,331.9451,False
1,70,488.5497,345.2365,False
1,71,543.4684,352.1371,False
1,72,580.3262,394.143,True
1,72,579.6198,417.506,True
1,72,619.0355,343.2958,True
1,72,639.051,387.1399,True
1,72,616.0272,349.0126,True
1,73,505.4443,364.1928,False
1,74,502.1986,308.7107,False
1,75,492.4764,298.6768,False
1,76,483.4394,289.2427,False
1,77,436.8361,241.1026,False
1,78,416.7241,220.2514,False
1,79,402.1567,205.115,False
1,80,361.905,163.5085,False
1,81,305.0243,106.3837,False
1,82,257.5865,59.01812,False
1,83,210.0546,11.71304,False
1,84,193.065,-5.153435,False
1,85,150.8656,-47.09129,False
1,86,118.9324,-78.23604,False
1,87,60.0093,-135.5853,False
1,88,21.4537,-173.5686,False
1,89,8.739392,-185.8475,False
1,90,-31.81334,-225.0144,False
1,91,-73.3839,-264.9778,False
1,92,-126.0747,-315.1559,False
1,93,-165.227,-352.6791,False
1,94,-225.3335,-411.9247,False
1,95,-242.5321,-423.6168,False
1,96,-299.3968,-452.8825,False
1,97,-313.2781,-460.0087,True
1,97,-377.9852,-514.0751,False
1,98,-414.0176,-554.8192,True
1,98,-424.8911,-547.1015,True
1,98,-371.6165,-518.4266,False
1,99,-401.7323,-552.2735,False
1,100,-423.2224,-572.2801,True
1,100,-491.26,-577.7534,True
1,100,-456.3891,-615.4801,True
1,100,-472.3472,-593.9294,True
1,100,-462.763,-613.3142,True
1,101,-354.295,-613.3775,True
1,101,-343.4568,-603.6658,False
1,102,-388.5092,-614.0479,True
1,102,-397.0981,-578.7651,True
1,102,-352.0011,-587.0068,False
1,103,-404.5237,-597.91,True
1,103,-361.9616,-593.6502,True
1,103,-378.9486,-582.8834,True
1,103,-329.4117,-574.4708,False
1,104,-344.9111,-569.9905,True
1,104,-349.0519,-551.6245,False
1,105,-374.1125,-549.6199,True
1,105,-377.2829,-593.7175,True
1,105,-386.1365,-562.92,True
1,105,-379.5615,-514.6422,False
1,106,-433.4153,-498.186,True
1,106,-326.6607,-508.3785,False
1,107,-263.3361,-476.0135,False
1,108,-243.8815,-466.1837,False
1,109,-216.2383,-452.2068,False
1,110,-152.111,-420.1982,False
1,111,-97.06798,-392.273,False
1,112,-80.70444,-383.8984,False
1,113,-56.82426,-371.3981,False
1,114,-7.794072,-345.756,False
1,115,46.04849,-316.8939,False
1,116,107.8027,-283.8341,False
1,117,175.4268,-248.5636,False
1,118,234.4189,-217.4053,False
1,119,260.6704,-203.1734,False
1,120,349.1042,-154.084,False
1,121,414.8224,-117.3445,False
1,122,433.5824,-107.0235,False
1,123,492.4132,-74.66827,False
1,124,518.7765,-60.11184,False
1,125,579.5812,-26.35019,False
1,126,602.4821,-13.87275,True
1,126,575.4945,-4.805233,False
1,127,591.9356,18.00243,True
1,127,613.9644,-16.51962,True
1,127,585.9625,50.48957,False
1,128,589.0328,101.4239,False
1,129,595.2203,193.5005,False
1,130,596.0126,206.2415,False
1,131,597.6264,238.3226,False
1,132,598.6089,261.9809,False
1,133,623.2642,320.4846,True
1,133,602.7343,280.0913,True
1,133,569.9415,298.391,False
1,134,570.2993,323.0763,False
1,135,579.7587,344.9391,False
1,136,589.2499,365.1463,False
1,137,601.4093,390.8671,False
1,138,610.8204,410.679,True
1,138,625.5192,396.4784,True
1,138,602.1014,407.7795,True
1,138,610.48,390.9966,True
1,138,586.5865,406.4658,True
1,139,555.3958,369.0131,True
1,139,565.967,368.4442,True
1,139,556.2104,377.5911,False
1,140,568.8114,397.4839,False
1,141,583.6932,420.6212,True
1,141,573.4379,414.0253,True
1,141,593.7368,410.2435,False
1,142,607.2465,419.3539,True
1,142,603.4979,425.7308,True
1,142,621.4179,417.2579,True
1,142,617.295,422.8892,True
1,142,614.2388,406.3683,True
1,143,551.7593,395.1358,False
1,144,579.0657,407.704,True
1,144,567.0022,376.7579,False
1,145,567.4383,364.2282,False
1,146,563.5937,339.3369,False
1,147,553.6149,318.8252,False
1,148,536.8342,294.953,False
1,149,527.3434,281.6205,False
1,150,509.0363,255.9469,False
1,151,495.7168,237.6984,False
1,152,479.2544,215.4604,False
1,153,468.5405,200.9687,False
1,154,451.2948,178.1871,False
1,155,441.5294,165.3743,False
1,156,424.6587,143.6252,False
1,157,413.2169,128.954,False
1,158,397.2983,108.4693,False
1,159,384.8702,92.5256,False
1,160,366.8217,69.56734,False
1,161,353.5844,52.81045,False
1,162,334.1083,28.35344,False
1,163,323.1947,14.80059,False
1,164,302.2592,-10.87512,False
1,165,291.2652,-24.34,False
1,166,270.1894,-49.92904,False
1,167,257.7733,-64.90686,False
1,168,241.8715,-83.9118,False
1,169,228.8466,-99.05173,False
1,170,207.5937,-123.6262,False
1,171,162.958,-175.2756,False
1,172,146.2891,-185.3903,False
1,173,126.5406,-196.1807,False
1,174,111.3217,-204.6957,False
1,175,82.7875,-220.9348,False
1,176,66.25587,-230.4184,False
1,177,46.72007,-241.8163,False
1,178,29.9684,-251.8363,False
1,179,10.69393,-263.6786,False
1,180,-5.828951,-274.0689,False
1,181,-32.79068,-291.4026,False
1,182,-49.01787,-302.0664,False
1,183,-77.89194,-321.1032,False
1,184,-99.44609,-335.1281,False
1,185,-119.7,-348.3309,False
1,186,-137.5,-359.9907,False
1,187,-163.9998,-377.5887,False
1,188,-184.5354,-391.2158,False
1,189,-210.6506,-408.7597,False
1,190,-228.2079,-420.8902,False
1,191,-251.6907,-437.2303,False
1,192,-268.3466,-448.7601,False
1,193,-291.7718,-465.066,False
1,194,-311.1415,-478.7298,False
1,195,-336.0326,-496.4916,False
1,196,-352.9262,-508.5966,False
1,197,-379.4344,-527.9124,True
1,197,-373.9886,-529.229,False
1,198,-387.7407,-544.5359,True
1,198,-383.5395,-551.0638,True
1,198,-395.5209,-548.2784,False
1,199,-410.4363,-571.3655,True
1,199,-407.486,-555.5694,False
1,200,-466.6999,-609.6548,True
1,200,-412.9853,-608.9821,True
1,200,-472.0481,-625.4695,True
1,200,-451.3518,-633.2814,True
1,200,-463.8485,-596.4922,True
1,201,-355.7472,-555.0357,True
1,201,-339.7812,-551.5897,True
1,201,-379.0036,-511.5253,True
1,201,-380.9275,-505.2147,True
1,201,-368.8921,-500.6636,False
1,202,-384.575,-494.0124,True
1,202,-389.9938,-486.4182,False
1,203,-411.6067,-488.9429,False
1,204,-425.0685,-505.1562,False
1,205,-428.8787,-520.6072,True
1,205,-419.297,-512.5337,False
1,206,-409.4593,-523.9388,False
1,207,-390.6418,-529.3246,False
1,208,-358.949,-527.1189,False
1,209,-338.1781,-523.5868,False
1,210,-322.3111,-520.9198,False
1,211,-291.3693,-515.7791,False
1,212,-266.5359,-511.7358,False
1,213,-245.2065,-508.2153,False
1,214,-225.5022,-505.0138,False
1,215,-202.9533,-501.5837,False
1,216,-198.4418,-488.4276,False
1,217,-154.7337,-415.2971,False
1,218,-97.98949,-399.3149,False
1,219,-32.07505,-386.3953,False
1,220,14.81517,-377.2241,False
1,221,71.77502,-366.1579,False
1,222,135.6431,-353.7879,False
1,223,176.0966,-346.0587,False
1,224,196.5324,-342.2725,False
1,225,226.0362,-336.8518,False
1,226,245.7707,-333.0924,False
1,227,275.5696,-327.2424,False
1,228,298.7397,-322.3692,False
1,229,329.3806,-315.52,False
2,0,-72.41131,-14.42185,False
2,1,-86.48118,-34.74493,False
2,2,-86.41884,-55.15911,False
2,3,-79.79984,-72.16051,False
2,4,-64.64608,-90.33041,False
2,5,-50.30956,-106.0468,False
2,6,-33.04463,-124.9886,False
2,7,-20.09778,-139.3987,False
2,8,-9.655632,-161.1708,False
2,9,0.5716689,-188.7771,False
2,10,-2.70421,-199.5843,False
2,11,-12.21531,-225.7129,False
2,12,-33.63632,-284.2291,False
2,13,-59.32553,-355.1732,False
2,14,-116.3813,-388.5479,False
2,15,-135.6313,-397.8546,False
2,16,-162.6467,-410.9635,False
2,17,-219.2644,-439.266,False
2,18,-237.0906,-448.2898,False
2,19,-264.3362,-462.0807,False
2,20,-284.5279,-472.2751,False
2,21,-309.0215,-484.6597,False
2,22,-326.295,-493.4839,False
2,23,-353.0499,-507.3266,True
2,23,-347.254,-508.8972,False
2,24,-367.9045,-530.157,True
2,24,-377.1157,-527.4146,True
2,24,-358.9498,-531.7246,True
2,24,-367.5103,-516.301,True
2,24,-352.1809,-529.3753,False
2,25,-360.6357,-548.4839,True
2,25,-354.6436,-545.6426,False
2,26,-364.0482,-566.6517,True
2,26,-363.1096,-575.311,False
2,27,-375.7412,-592.918,True
2,27,-358.4287,-590.8952,False
2,28,-355.2689,-610.9335,True
2,28,-363.094,-609.6745,True
2,28,-348.1363,-609.7474,False
2,29,-347.4039,-632.9673,True
2,29,-354.4041,-621.211,True
2,29,-341.0073,-621.9875,True
2,29,-331.6837,-626.1699,True
2,29,-328.1749,-615.0721,True
2,30,-337.9802,-567.4296,True
2,30,-316.904,-531.3502,False
2,31,-340.0475,-542.562,True
2,31,-328.1227,-542.0703,True
2,31,-318.0869,-540.0462,False
2,32,-319.0065,-557.8126,False
2,33,-313.4622,-581.9313,False
2,34,-296.3744,-594.4929,False
2,35,-272.8136,-599.3528,False
2,36,-249.6565,-595.1264,False
2,37,-231.0085,-590.9536,False
2,38,-206.4359,-585.5333,False
2,39,-184.9216,-573.5393,False
2,40,-160.6748,-556.9199,False
2,41,-141.3835,-543.5359,False
2,42,-126.0522,-533.0055,False
2,43,-100.2872,-515.117,False
2,44,-83.87376,-503.4548,False
2,45,-59.45175,-485.7646,False
2,46,-42.06192,-472.8941,False
2,47,-16.72514,-453.8165,False
2,48,-4.061343,-444.1608,False
2,49,17.50004,-427.7873,False
2,50,31.59188,-417.0969,False
2,51,56.37419,-398.0835,False
2,52,70.99058,-377.4625,False
2,53,88.97079,-363.7483,False
2,54,102.7846,-344.3725,False
2,55,121.2868,-330.6869,False
2,56,136.2186,-311.0455,False
2,57,147.265,-303.2573,False
2,58,162.4682,-286.6386,False
2,59,182.624,-269.8544,False
2,60,194.8392,-250.4408,False
2,61,204.6096,-227.1711,False
2,62,212.4694,-208.5214,False
2,63,233.8657,-158.9727,False
2,64,251.173,-119.2598,False
2,65,275.1418,-62.5569,False
2,66,304.6738,6.885326,False
2,67,311.9699,24.34671,False
2,68,324.4645,53.24125,False
2,69,332.4979,71.6163,False
2,70,354.7582,122.6267,False
2,71,374.6976,168.3615,False
2,72,404.2164,235.5222,False
2,73,416.0077,262.9639,False
2,74,425.1817,283.8727,False
2,75,436.9725,310.6485,False
2,76,478.2411,401.4174,True
2,76,508.7834,375.989,True
2,76,468.9,374.1899,True
2,76,477.1879,355.1747,False
2,77,499.3594,357.9803,True
2,77,487.162,363.6242,True
2,77,495.7969,354.0789,False
2,78,520.2193,360.5931,True
2,78,522.5901,365.6858,True
2,78,524.2546,353.27,False
2,79,541.7466,362.7578,True
2,79,538.226,351.2434,False
2,80,564.0786,358.8276,True
2,80,545.4585,356.4668,True
2,80,559.6305,348.6524,False
2,81,577.6458,356.9946,True
2,81,546.9288,358.158,True
2,81,554.889,351.6921,False
2,82,571.7444,366.3036,True
2,82,568.0645,369.4034,True
2,82,571.6356,357.6814,False
2,83,597.5182,356.4587,True
2,83,594.4033,366.2314,True
2,83,575.6661,360.9346,False
2,84,591.2518,377.9772,True
2,84,583.3327,377.9642,False
2,85,593.549,394.4649,True
2,85,581.6126,346.163,False
2,86,599.3831,341.2436,False
2,87,606.4297,327.7522,True
2,87,610.884,352.3161,False
2,88,632.9865,353.2705,True
2,88,631.0637,362.5173,True
2,88,629.5533,370.1094,True
2,88,626.9016,344.3432,True
2,88,656.3185,406.3705,True
2,89,609.1982,346.1258,False
2,90,624.9201,408.2106,False
2,91,633.1611,424.2768,True
2,91,630.6495,434.0274,True
2,91,625.6584,427.047,True
2,91,618.6411,424.872,True
2,91,642.8629,426.7901,True
2,92,638.1326,367.0982,False
2,93,648.7291,386.8797,True
2,93,650.9972,397.9749,True
2,93,646.3149,404.719,True
2,93,657.2322,387.805,True
2,93,630.6783,389.2017,True
2,94,631.2271,336.3996,True
2,94,631.7533,322.8814,True
2,94,623.9792,329.395,False
2,95,701.9241,322.5554,True
2,95,646.3912,382.0534,False
